name,new_name,Tipo variables
"ALMEJA,BERBERECHO F","ALMEJAS,BERB.FRESC",1
ALMEJAS,,1
ALMEJAS CONGELADO,,1
"ALMEJAS,BERB.FRESC",,1
"ALMEJAS,BERBERECHO",,2
ANCHOAS,,1
ATUN,,1
ATUN Y BONITO,,2
ATUN Y BONITO FRESC,ATUN Y BONITO,1
BACALADILLA,,1
BACALAO,,2
BACALAO CONGELADO,,1
BACALAO FRESCO,,1
BERBEREC.CONGELADO,,1
BERBERECHOS,,1
BERBERECHOS CONGEL.,BERBEREC.CONGELADO,1
BOQUERONES FRESCOS,,1
CABALLA FRESCA,,1
CALAMAR Y PULPO FR,,1
"CALAMAR,PULPO FRESC",CALAMAR Y PULPO FR,1
CALAMARES,,1
CALAMARES CONGELAD,,1
CALAMARES CONGELAD.,CALAMARES CONGELAD,1
"CALAMARES,PULPO",,2
CHICHARRO/CABALLA,,1
CONS.PESCADO/MOLUSCO,,2
DORADA,,1
GAMBA/LANGOST.COCID,GAMBAS/LANG.COCIDO,1
GAMBA/LANGOST.FRESC,GAMBAS/LANG.FRESCO,1
GAMBAS/LANG.COCIDO,,1
GAMBAS/LANG.CONG.,,1
GAMBAS/LANG.FRESCO,,1
GAMBAS/LANGOSTINOS,,2
LENGUADO,,2
LENGUADO CONGELADO,,1
LENGUADO FRESCO,,1
LUBINA,,1
MARISCO/MOLUSC COCI,,1
MARISCO/MOLUSC CONG,,1
MARISCO/MOLUSC FRES,,1
MARISCO/MOLUSCO COCI,MARISCO/MOLUSC COCI,1
MARISCO/MOLUSCO CONG,MARISCO/MOLUSC CONG,1
MARISCO/MOLUSCO FRES,MARISCO/MOLUSC FRES,1
MARISCO/MOLUSCO/CRUS,,2
MEJILLON,,2
MEJILLON CONGELADO,,1
MEJILLON FRESCO,,1
MEJILLONES,,2
MEJILLONES FRESCOS,MEJILLON FRESCO,1
MERLUZA/PESCAD,,2
MERLUZA/PESCAD.CON,,1
MERLUZA/PESCAD.CONG,MERLUZA/PESCAD.CON,1
MERLUZA/PESCAD.FRE,,1
MERLUZA/PESCAD.FRES,MERLUZA/PESCAD.FRE,1
MERLUZA/PESCADILLA,MERLUZA/PESCAD,2
OTRAS CONS.PESCADO,,1
OTROS AHUMADOS,,1
OTROS MARISC./MOLUS,OTROS MARISC/MOLUSC,2
OTROS MARISC.COCI.,,1
OTROS MARISC.CONG.,,1
OTROS MARISC.FRES.,,1
OTROS MARISC/MOLUSC,,2
OTROS MARISCOS COCI,OTROS MARISC.COCI.,1
OTROS MARISCOS FRES,OTROS MARISC.FRES.,1
OTROS PESC.CONGELAD,OTROS PESCADOS CON,1
OTROS PESCADOS,,2
OTROS PESCADOS CON,,1
OTROS PESCADOS FRE,,1
OTROS PESCADOS FRES,OTROS PESCADOS FRE,1
PESCADO SALADO,,1
PESCADOS,,2
PESCADOS CONGELADOS,,2
PESCADOS FRESCOS,,2
PEZ ESPADA/EMPERADOR,,1
PULPO,,1
PULPO CONGELADO,,1
RAPE,,1
RODABALLO,,1
SALMON,,2
SALMON AHUMADO,,1
SALMON CONGELADO,,1
SALMON FRESCO,,1
SARDINA/BOQUERON,,1
SARDINA/BOQUERON FR,,1
SARDINAS,,1
SARDINAS FRESCAS,,1
TOTAL PESCA,,2
TRUCHA AHUMADA,,1
TRUCHA FRESCA,,1
