name,en_name,en_name_gen
ALMEJAS,Clams,Clams
ALMEJAS CONGELADO,Frozen clams,Clams
"ALMEJAS,BERB.FRESC",Fresh clams and cockles,Clams and cockles
"ALMEJAS,BERBERECHO",Clams and cockles,Clams and cockles
ATUN,Tuna,Tuna
ATUN Y BONITO,Tuna and skipjacks,Tuna and skipjacks
BACALAO,Cod,Cod
BACALAO CONGELADO,Frozen cod,Cod
BACALAO FRESCO,Fresh cod,Cod
BERBEREC.CONGELADO,Frozen cockles,Cockles
BERBERECHOS,Cockles,Cockles
CABALLA FRESCA,Mackerel,Mackerel
CALAMAR Y PULPO FR,Fresh squid and octopus,Squid and octopus
CALAMARES,Squid,Squid
CALAMARES CONGELAD,Frozen squid,Squid
"CALAMARES,PULPO",Squid and octopus,Squid and octopus
CHICHARRO/CABALLA,Preserved mackerel,Mackerel
CONS.PESCADO/MOLUSCO,Preserved fish and molluscs,Fish and molluscs
GAMBAS/LANG.COCIDO,Cooked shrimps and prawns,Shrimps and prawns
GAMBAS/LANG.CONG.,Frozen shrimps and prawns,Shrimps and prawns
GAMBAS/LANG.FRESCO,Fresh shrimps and prawns,Shrimps and prawns
GAMBAS/LANGOSTINOS,Shrimps and prawns,Shrimps and prawns
LENGUADO,Flounder,Flounder
LENGUADO CONGELADO,Frozen flounder,Flounder
LENGUADO FRESCO,Fresh flounder,Flounder
MARISCO/MOLUSC COCI,Cooked molluscs and crustaceans,Molluscs and crustaceans
MARISCO/MOLUSC CONG,Frozen molluscs and crustaceans,Molluscs and crustaceans
MARISCO/MOLUSC FRES,Fresh molluscs and crustaceans,Molluscs and crustaceans
MARISCO/MOLUSCO/CRUS,Molluscs and crustaceans,Molluscs and crustaceans
MEJILLON,Mussel,Mussel
MEJILLON CONGELADO,Frozen mussel,Mussel
MEJILLON FRESCO,Fresh mussel,Mussel
MEJILLON CONSERVA,Preseved mussel,Mussel
MERLUZA/PESCAD,Hake,Hake
MERLUZA/PESCAD.CON,Frozen hake,Hake
MERLUZA/PESCAD.FRE,Fresh hake,Hake
OTRAS CONS.PESCADO,Other preserved fish,Other fish
OTROS MARISC.COCI.,Other cooked molluscs and crustaceans,Other molluscs and crustaceans
OTROS MARISC.CONG.,Other frozen molluscs and crustaceans,Other molluscs and crustaceans
OTROS MARISC.FRES.,Other fresh molluscs and crustaceans,Other molluscs and crustaceans
OTROS MARISC/MOLUSC,Other molluscs and crustaceans,Other molluscs and crustaceans
OTROS PESCADOS,Other fish,Other fish
OTROS PESCADOS CON,Other frozen fish,Other fish
OTROS PESCADOS FRE,Other fresh fish,Other fish
PESCADOS,Fish,Fish
PESCADOS CONGELADOS,Frozen fish,Fish
PESCADOS FRESCOS,Fresh fish,Fish
PULPO,Octopus,Octopus
PULPO CONGELADO,Frozen octopus,Octopus
SALMON,Salmon,Salmon
SALMON CONGELADO,Frozen salmon,Salmon
SALMON FRESCO,Fresh salmon,Salmon
SARDINA/BOQUERON,Sardines and anchovies,Sardines and anchovies
SARDINAS,Sardines,Sardines
TOTAL CARNE,Total meat,Total meat
TOTAL PESCA,Total fish,Total fish
TRUCHA FRESCA,Fresh trout,Trout
ANCHOAS,Anchovies,Anchovies
DORADA,Seabream,Seabream
LUBINA,Seabass,Seabass
OTROS AHUMADOS,Other smoked,Other 
RODABALLO,Turbot,Turbot
SALMON AHUMADO,Smoked salmon,Salmon
TRUCHA AHUMADA,Smoked trout,Trout
RAPE,Monkfish,Monkfish
PESCADO SALADO,Brined fish,Brined fish
BOQUERONES FRESCOS,Fresh anchovies,Anchovies
SARDINAS FRESCAS,Fresh sardine,Sardines
BACALADILLA,Whiting,Whiting
PEZ ESPADA/EMPERADOR,Sword fish,Sword fish
